ComponentId,SourceProject,DestinationProject,ConfigurationId,ConfigurationName,DateTime,Status,StatusText
keboola.snowflake-transformation,L2 Nekter,L2 DEV,1082740781,[ADHOC] FactOrderDiscount,2024-09-19 14:44:20,Success,**Migrated**: keboola.snowflake-transformation **[ADHOC] FactOrderDiscount** at 2024-09-19 14:44:20
keboola.snowflake-transformation,L2 Nekter,L2 DEV,1068505562,[ADHOC] Initial dim_product,2024-09-19 14:44:20,Success,**Migrated**: keboola.snowflake-transformation **[ADHOC] Initial dim_product** at 2024-09-19 14:44:20
keboola.snowflake-transformation,L2 Nekter,L2 DEV,1103573505,[ADHOC] DimDiscountTest,2024-09-19 14:44:21,Success,**Migrated**: keboola.snowflake-transformation **[ADHOC] DimDiscountTest** at 2024-09-19 14:44:21
keboola.snowflake-transformation,L2 Nekter,L2 DEV,1068703987,[ADHOC]Initial dim_person,2024-09-19 14:44:21,Success,**Migrated**: keboola.snowflake-transformation **[ADHOC]Initial dim_person** at 2024-09-19 14:44:21
keboola.snowflake-transformation,L2 Nekter,L2 DEV,1078568385,[ADHOC] DimOrderHeader (Copy),2024-09-19 14:44:21,Success,**Migrated**: keboola.snowflake-transformation **[ADHOC] DimOrderHeader (Copy)** at 2024-09-19 14:44:21
keboola.snowflake-transformation,L2 Nekter,L2 DEV,1103606550,[ADHOC] FactOrdersTest,2024-09-19 14:44:21,Success,**Migrated**: keboola.snowflake-transformation **[ADHOC] FactOrdersTest** at 2024-09-19 14:44:21
keboola.snowflake-transformation,L2 Nekter,L2 DEV,1104921137,[ADHOC] FactOrderDiscount Test,2024-09-19 14:44:21,Success,**Migrated**: keboola.snowflake-transformation **[ADHOC] FactOrderDiscount Test** at 2024-09-19 14:44:21
keboola.snowflake-transformation,L2 Nekter,L2 DEV,1104921188,[ADHOC] FactOrderPayment Test Olo,2024-09-19 14:44:21,Success,**Migrated**: keboola.snowflake-transformation **[ADHOC] FactOrderPayment Test Olo** at 2024-09-19 14:44:21
keboola.variables,L2 Nekter,L2 DEV,1112973240,Variables definition for keboola.snowflake-transformation/1104920879,2024-09-19 14:44:21,Success,**Migrated**: keboola.variables **Variables definition for keboola.snowflake-transformation/1104920879** at 2024-09-19 14:44:21
keboola.variables,L2 Nekter,L2 DEV,1112973309,Variables definition for keboola.snowflake-transformation/1104920961,2024-09-19 14:44:21,Success,**Migrated**: keboola.variables **Variables definition for keboola.snowflake-transformation/1104920961** at 2024-09-19 14:44:21
keboola.snowflake-transformation,L2 Nekter,L2 DEV,1110275737,[ADHOC] Qu Back-up 20240409,2024-09-19 14:44:23,Success,**Migrated**: keboola.snowflake-transformation **[ADHOC] Qu Back-up 20240409** at 2024-09-19 14:44:23
keboola.snowflake-transformation,L2 Nekter,L2 DEV,1104921212,[ADHOC] FactOrders Test Olo,2024-09-19 14:44:23,Success,**Migrated**: keboola.snowflake-transformation **[ADHOC] FactOrders Test Olo** at 2024-09-19 14:44:23
keboola.orchestrator,L2 Nekter,L2 DEV,1082526347,[General] Load dimensions,2024-09-19 14:48:05,Success,**Migrated**: keboola.orchestrator **[General] Load dimensions** at 2024-09-19 14:48:05
